"Статистик үзүүлэлт","Аймаг","Аймгийн код","year","value"
"Хохирогч иргэд","Архангай",265,"2019",570
"Хохирогч иргэд","Баянхонгор",264,"2019",637
"Хохирогч иргэд","Булган",263,"2019",450
"Хохирогч иргэд","Өвөрхангай",262,"2019",618
"Хохирогч иргэд","Хөвсгөл",267,"2019",735
"Хохирогч иргэд","Орхон",261,"2019",686
"Хохирогч иргэд","Төвийн бүс",3,"2019",3854
"Хохирогч иргэд","Дорноговь",344,"2019",506
"Хохирогч иргэд","Дундговь",348,"2019",209
"Хохирогч иргэд","Өмнөговь",346,"2019",540
"Хохирогч иргэд","Сэлэнгэ",343,"2019",745
"Хохирогч иргэд","Төв",341,"2019",863
"Хохирогч иргэд","Дархан-Уул",345,"2019",835
"Хохирогч иргэд","Говьсүмбэр",342,"2019",156
"Хохирогч иргэд","Зүүн бүс",4,"2019",1959
"Хохирогч иргэд","Дорнод",421,"2019",604
"Хохирогч иргэд","Сүхбаатар",422,"2019",533
"Хохирогч иргэд","Хэнтий",423,"2019",822
"Хохирогч иргэд","Улаанбаатар",5,"2019",19636
"Хохирогч иргэд","Улаанбаатар",511,"2019",19636
"Хохирогч иргэд","Бусад",6,"2019",35
"Нийт учирсан хохирол","Улсын дүн",0,"2019",162346.6
"Нийт учирсан хохирол","Баруун бүс",1,"2019",4748.8
"Нийт учирсан хохирол","Баян-Өлгий",183,"2019",1131.4
"Нийт учирсан хохирол","Говь-Алтай",182,"2019",1196.4
"Нийт учирсан хохирол","Завхан",181,"2019",677.6
"Нийт учирсан хохирол","Увс",185,"2019",618.7
"Нийт учирсан хохирол","Ховд",184,"2019",1124.7
"Нийт учирсан хохирол","Хангайн бүс",2,"2019",11493.3
"Нийт учирсан хохирол","Архангай",265,"2019",2169
"Нийт учирсан хохирол","Баянхонгор",264,"2019",1665.7
"Нийт учирсан хохирол","Булган",263,"2019",1471.9
"Нийт учирсан хохирол","Өвөрхангай",262,"2019",1060.2
"Нийт учирсан хохирол","Хөвсгөл",267,"2019",2515.6
"Нийт учирсан хохирол","Орхон",261,"2019",2610.9
"Нийт учирсан хохирол","Төвийн бүс",3,"2019",15663.2
"Нийт учирсан хохирол","Дорноговь",344,"2019",3558.9
"Нийт учирсан хохирол","Дундговь",348,"2019",683.7
"Нийт учирсан хохирол","Өмнөговь",346,"2019",1574.5
"Нийт учирсан хохирол","Сэлэнгэ",343,"2019",2700.7
"Нийт учирсан хохирол","Төв",341,"2019",4153.6
"Нийт учирсан хохирол","Дархан-Уул",345,"2019",2586.9
"Нийт учирсан хохирол","Говьсүмбэр",342,"2019",405.1
"Нийт учирсан хохирол","Зүүн бүс",4,"2019",7907.3
"Нийт учирсан хохирол","Дорнод",421,"2019",3988.6
"Нийт учирсан хохирол","Сүхбаатар",422,"2019",1492.4
"Нийт учирсан хохирол","Хэнтий",423,"2019",2426.4
"Нийт учирсан хохирол","Улаанбаатар",5,"2019",121709.3
"Нийт учирсан хохирол","Улаанбаатар",511,"2019",121709.3
"Нийт учирсан хохирол","Бусад",6,"2019",824.7
"Нийт нөхөн төлүүлэлт","Улсын дүн",0,"2019",43759.6
"Нийт нөхөн төлүүлэлт","Баруун бүс",1,"2019",2812
"Нийт нөхөн төлүүлэлт","Баян-Өлгий",183,"2019",604.5
"Нийт нөхөн төлүүлэлт","Говь-Алтай",182,"2019",956.5
"Нийт нөхөн төлүүлэлт","Завхан",181,"2019",313.5
"Нийт нөхөн төлүүлэлт","Увс",185,"2019",375
"Нийт нөхөн төлүүлэлт","Ховд",184,"2019",562.2
"Нийт нөхөн төлүүлэлт","Хангайн бүс",2,"2019",5157.6
"Нийт нөхөн төлүүлэлт","Архангай",265,"2019",1169.3
"Нийт нөхөн төлүүлэлт","Баянхонгор",264,"2019",570.4
"Нийт нөхөн төлүүлэлт","Булган",263,"2019",612.8
"Нийт нөхөн төлүүлэлт","Өвөрхангай",262,"2019",251.2
"Нийт нөхөн төлүүлэлт","Хөвсгөл",267,"2019",1600.3
"Нийт нөхөн төлүүлэлт","Орхон",261,"2019",953.6
"Нийт нөхөн төлүүлэлт","Төвийн бүс",3,"2019",8330.9
"Нийт нөхөн төлүүлэлт","Дорноговь",344,"2019",1972.2
"Нийт нөхөн төлүүлэлт","Дундговь",348,"2019",282.7
"Нийт нөхөн төлүүлэлт","Өмнөговь",346,"2019",1199
"Нийт нөхөн төлүүлэлт","Сэлэнгэ",343,"2019",1122.2
"Нийт нөхөн төлүүлэлт","Төв",341,"2019",2525.3
"Нийт нөхөн төлүүлэлт","Дархан-Уул",345,"2019",1108
"Нийт нөхөн төлүүлэлт","Говьсүмбэр",342,"2019",121.6
"Нийт нөхөн төлүүлэлт","Зүүн бүс",4,"2019",3565.7
"Нийт нөхөн төлүүлэлт","Дорнод",421,"2019",1919.9
"Нийт нөхөн төлүүлэлт","Сүхбаатар",422,"2019",626.6
"Нийт нөхөн төлүүлэлт","Хэнтий",423,"2019",1019.1
"Нийт нөхөн төлүүлэлт","Улаанбаатар",5,"2019",23788.4
"Нийт нөхөн төлүүлэлт","Улаанбаатар",511,"2019",23788.4
"Нийт нөхөн төлүүлэлт","Бусад",6,"2019",105
"Хохирогч иргэд","Улсын дүн",0,"2020",23050
"Хохирогч иргэд","Баруун бүс",1,"2020",1375
"Хохирогч иргэд","Баян-Өлгий",183,"2020",313
"Хохирогч иргэд","Говь-Алтай",182,"2020",165
"Хохирогч иргэд","Завхан",181,"2020",293
"Хохирогч иргэд","Увс",185,"2020",197
"Хохирогч иргэд","Ховд",184,"2020",407
"Хохирогч иргэд","Хангайн бүс",2,"2020",2791
"Хохирогч иргэд","Архангай",265,"2020",449
"Хохирогч иргэд","Баянхонгор",264,"2020",476
"Хохирогч иргэд","Булган",263,"2020",355
"Хохирогч иргэд","Өвөрхангай",262,"2020",411
"Хохирогч иргэд","Хөвсгөл",267,"2020",556
"Хохирогч иргэд","Орхон",261,"2020",544
"Хохирогч иргэд","Төвийн бүс",3,"2020",2966
"Хохирогч иргэд","Дорноговь",344,"2020",301
"Хохирогч иргэд","Дундговь",348,"2020",201
"Хохирогч иргэд","Өмнөговь",346,"2020",461
"Хохирогч иргэд","Сэлэнгэ",343,"2020",537
"Хохирогч иргэд","Төв",341,"2020",753
"Хохирогч иргэд","Дархан-Уул",345,"2020",552
"Хохирогч иргэд","Говьсүмбэр",342,"2020",161
"Хохирогч иргэд","Зүүн бүс",4,"2020",1443
"Хохирогч иргэд","Дорнод",421,"2020",491
"Хохирогч иргэд","Сүхбаатар",422,"2020",426
"Хохирогч иргэд","Хэнтий",423,"2020",526
"Хохирогч иргэд","Улаанбаатар",5,"2020",14464
"Хохирогч иргэд","Улаанбаатар",511,"2020",14464
"Хохирогч иргэд","Бусад",6,"2020",11
"Нийт учирсан хохирол","Улсын дүн",0,"2020",254937.3
"Нийт учирсан хохирол","Баруун бүс",1,"2020",4115.4
"Нийт учирсан хохирол","Баян-Өлгий",183,"2020",822.9
"Нийт учирсан хохирол","Говь-Алтай",182,"2020",697
"Нийт учирсан хохирол","Завхан",181,"2020",1214.5
"Нийт учирсан хохирол","Увс",185,"2020",444.4
"Нийт учирсан хохирол","Ховд",184,"2020",936.6
"Нийт учирсан хохирол","Хангайн бүс",2,"2020",9208.3
"Нийт учирсан хохирол","Архангай",265,"2020",1645.5
"Нийт учирсан хохирол","Баянхонгор",264,"2020",1168
"Нийт учирсан хохирол","Булган",263,"2020",1603.7
"Нийт учирсан хохирол","Өвөрхангай",262,"2020",772.9
"Нийт учирсан хохирол","Хөвсгөл",267,"2020",2158.5
"Нийт учирсан хохирол","Орхон",261,"2020",1859.7
"Нийт учирсан хохирол","Төвийн бүс",3,"2020",14104.1
"Нийт учирсан хохирол","Дорноговь",344,"2020",1127.6
"Нийт учирсан хохирол","Дундговь",348,"2020",692.9
"Нийт учирсан хохирол","Өмнөговь",346,"2020",2471.8
"Нийт учирсан хохирол","Сэлэнгэ",343,"2020",1294.2
"Нийт учирсан хохирол","Төв",341,"2020",3250.1
"Нийт учирсан хохирол","Дархан-Уул",345,"2020",1681.6
"Нийт учирсан хохирол","Говьсүмбэр",342,"2020",3585.9
"Нийт учирсан хохирол","Зүүн бүс",4,"2020",5124.9
"Нийт учирсан хохирол","Дорнод",421,"2020",1387.9
"Нийт учирсан хохирол","Сүхбаатар",422,"2020",1445.6
"Нийт учирсан хохирол","Хэнтий",423,"2020",2291.4
"Нийт учирсан хохирол","Улаанбаатар",5,"2020",222257.5
"Нийт учирсан хохирол","Улаанбаатар",511,"2020",222257.5
"Нийт учирсан хохирол","Бусад",6,"2020",127.1
"Нийт нөхөн төлүүлэлт","Улсын дүн",0,"2020",82079.4
"Нийт нөхөн төлүүлэлт","Баруун бүс",1,"2020",2403
"Нийт нөхөн төлүүлэлт","Баян-Өлгий",183,"2020",549.4
"Нийт нөхөн төлүүлэлт","Говь-Алтай",182,"2020",500.7
"Нийт нөхөн төлүүлэлт","Завхан",181,"2020",498.7
"Нийт нөхөн төлүүлэлт","Увс",185,"2020",314.4
"Нийт нөхөн төлүүлэлт","Ховд",184,"2020",539.7
"Нийт нөхөн төлүүлэлт","Хангайн бүс",2,"2020",4246
"Нийт нөхөн төлүүлэлт","Архангай",265,"2020",807.2
"Нийт нөхөн төлүүлэлт","Баянхонгор",264,"2020",610.3
"Нийт нөхөн төлүүлэлт","Булган",263,"2020",892
"Нийт нөхөн төлүүлэлт","Өвөрхангай",262,"2020",313.1
"Нийт нөхөн төлүүлэлт","Хөвсгөл",267,"2020",716.5
"Нийт нөхөн төлүүлэлт","Орхон",261,"2020",906.9
"Нийт нөхөн төлүүлэлт","Төвийн бүс",3,"2020",5983.5
"Нийт нөхөн төлүүлэлт","Дорноговь",344,"2020",814.8
"Нийт нөхөн төлүүлэлт","Дундговь",348,"2020",257.1
"Нийт нөхөн төлүүлэлт","Өмнөговь",346,"2020",913.7
"Нийт нөхөн төлүүлэлт","Сэлэнгэ",343,"2020",693.3
"Нийт нөхөн төлүүлэлт","Төв",341,"2020",2385.2
"Нийт нөхөн төлүүлэлт","Дархан-Уул",345,"2020",759.1
"Нийт нөхөн төлүүлэлт","Говьсүмбэр",342,"2020",160.3
"Нийт нөхөн төлүүлэлт","Зүүн бүс",4,"2020",2229.5
"Нийт нөхөн төлүүлэлт","Дорнод",421,"2020",658.9
"Нийт нөхөн төлүүлэлт","Сүхбаатар",422,"2020",1036.4
"Нийт нөхөн төлүүлэлт","Хэнтий",423,"2020",534.2
"Нийт нөхөн төлүүлэлт","Улаанбаатар",5,"2020",67203.2
"Нийт нөхөн төлүүлэлт","Улаанбаатар",511,"2020",67203.2
"Нийт нөхөн төлүүлэлт","Бусад",6,"2020",14.3
