"Үзүүлэлт","year","value"
"Ачаа эргэлт, сая тонн километр","1978",2738.2
"Зорчигчид, мянган хүн","1978",1300
"Зорчигч эргэлт, сая хүн километр","1978",244.8
"Тээсэн ачаа, мянган тонн","1979",9000
"Ачаа эргэлт, сая тонн километр","1979",3125.9
"Зорчигчид, мянган хүн","1979",1300
"Зорчигч эргэлт, сая хүн километр","1979",267.1
"Тээсэн ачаа, мянган тонн","1980",9783.2
"Тээсэн ачаа, мянган тонн - дотоодод","1980",4667.9
"Тээсэн ачаа, мянган тонн - гаргалт","1980",1176.1
"Тээсэн ачаа, мянган тонн - оруулалт","1980",3680
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1980",259.2
"Ачаа эргэлт, сая тонн километр","1980",3449.4
"Ачаа эргэлт, сая тонн километр - дотоодын","1980",1183.3
"Ачаа эргэлт, сая тонн километр - гаргалт","1980",550.4
"Ачаа эргэлт, сая тонн километр - оруулалт","1980",1427.9
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1980",287.8
"Зорчигчид, мянган хүн","1980",1400
"Зорчигч эргэлт, сая хүн километр","1980",296.6
"Тээсэн ачаа, мянган тонн","1981",10700
"Ачаа эргэлт, сая тонн километр","1981",3609
"Зорчигчид, мянган хүн","1981",1600
"Зорчигч эргэлт, сая хүн километр","1981",326.6
"Тээсэн ачаа, мянган тонн","1982",11300
"Ачаа эргэлт, сая тонн километр","1982",3913.5
"Зорчигчид, мянган хүн","1982",1700
"Зорчигч эргэлт, сая хүн километр","1982",350
"Тээсэн ачаа, мянган тонн","1983",12000
"Ачаа эргэлт, сая тонн километр","1983",4497.9
"Зорчигчид, мянган хүн","1983",1900
"Зорчигч эргэлт, сая хүн километр","1983",385.5
"Тээсэн ачаа, мянган тонн","1984",12881.4
"Ачаа эргэлт, сая тонн километр","1984",4863.5
"Зорчигчид, мянган хүн","1984",2000
"Зорчигч эргэлт, сая хүн километр","1984",413.1
"Тээсэн ачаа, мянган тонн","1985",15000
"Ачаа эргэлт, сая тонн километр","1985",5959.6
"Зорчигчид, мянган хүн","1985",2100
"Зорчигч эргэлт, сая хүн километр","1985",435.8
"Тээсэн ачаа, мянган тонн","1986",15900
"Ачаа эргэлт, сая тонн километр","1986",6333.4
"Зорчигчид, мянган хүн","1986",2400
"Зорчигч эргэлт, сая хүн километр","1986",467.1
"Тээсэн ачаа, мянган тонн","1987",16700
"Ачаа эргэлт, сая тонн километр","1987",6179.9
"Зорчигчид, мянган хүн","1987",2500
"Зорчигч эргэлт, сая хүн километр","1987",486.5
"Тээсэн ачаа, мянган тонн","1988",17800
"Ачаа эргэлт, сая тонн километр","1988",6241.1
"Зорчигчид, мянган хүн","1988",2600
"Зорчигч эргэлт, сая хүн километр","1988",531
"Тээсэн ачаа, мянган тонн","1989",16859.7
"Тээсэн ачаа, мянган тонн - дотоодод","1989",9698
"Тээсэн ачаа, мянган тонн - гаргалт","1989",2873.5
"Тээсэн ачаа, мянган тонн - оруулалт","1989",3020
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1989",1268.2
"Ачаа эргэлт, сая тонн километр","1989",5956.1
"Ачаа эргэлт, сая тонн километр - дотоодын","1989",2152.5
"Ачаа эргэлт, сая тонн километр - гаргалт","1989",1399
"Ачаа эргэлт, сая тонн километр - оруулалт","1989",997
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1989",1407.6
"Зорчигчид, мянган хүн","1989",2716.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","1989",367.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","1989",2349
"Зорчигч эргэлт, сая хүн километр","1989",578.6
"Шилжүүлсэн сая тонн километр","1989",6534.7
"Тээсэн ачаа, мянган тонн","1990",14517.1
"Тээсэн ачаа, мянган тонн - дотоодод","1990",8575.6
"Тээсэн ачаа, мянган тонн - гаргалт","1990",2753.4
"Тээсэн ачаа, мянган тонн - оруулалт","1990",2209.7
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1990",978.4
"Ачаа эргэлт, сая тонн километр","1990",5087.8
"Ачаа эргэлт, сая тонн километр - дотоодын","1990",1943.9
"Ачаа эргэлт, сая тонн километр - гаргалт","1990",1323.1
"Ачаа эргэлт, сая тонн километр - оруулалт","1990",734.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1990",1086
"Зорчигчид, мянган хүн","1990",2600
"Зорчигчид, мянган хүн - олон улсад зорчсон","1990",400
"Зорчигчид, мянган хүн - дотоодод зорчсон","1990",2200
"Зорчигч эргэлт, сая хүн километр","1990",570.1
"Шилжүүлсэн сая тонн километр","1990",5657.9
"Тээсэн ачаа, мянган тонн","1991",10269.8
"Тээсэн ачаа, мянган тонн - дотоодод","1991",7113.2
"Тээсэн ачаа, мянган тонн - гаргалт","1991",1706.8
"Тээсэн ачаа, мянган тонн - оруулалт","1991",1281.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1991",168.6
"Ачаа эргэлт, сая тонн километр","1991",3012.6
"Ачаа эргэлт, сая тонн километр - дотоодын","1991",1596.9
"Ачаа эргэлт, сая тонн километр - гаргалт","1991",760.9
"Ачаа эргэлт, сая тонн километр - оруулалт","1991",467.5
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1991",187.3
"Зорчигчид, мянган хүн","1991",2556.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","1991",395
"Зорчигчид, мянган хүн - дотоодод зорчсон","1991",2161.5
"Зорчигч эргэлт, сая хүн километр","1991",596.3
"Шилжүүлсэн сая тонн километр","1991",3608.9
"Тээсэн ачаа, мянган тонн","1992",8518.3
"Тээсэн ачаа, мянган тонн - дотоодод","1992",5892.3
"Тээсэн ачаа, мянган тонн - гаргалт","1992",1374.2
"Тээсэн ачаа, мянган тонн - оруулалт","1992",942.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1992",309
"Ачаа эргэлт, сая тонн километр","1992",2756.4
"Ачаа эргэлт, сая тонн километр - дотоодын","1992",1351.5
"Ачаа эргэлт, сая тонн километр - гаргалт","1992",684.9
"Ачаа эргэлт, сая тонн километр - оруулалт","1992",384
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1992",336
"Зорчигчид, мянган хүн","1992",2571.3
"Зорчигчид, мянган хүн - олон улсад зорчсон","1992",401.1
"Зорчигчид, мянган хүн - дотоодод зорчсон","1992",2170.2
"Зорчигч эргэлт, сая хүн километр","1992",629.5
"Шилжүүлсэн сая тонн километр","1992",3385.9
"Тээсэн ачаа, мянган тонн","1993",7882.9
"Тээсэн ачаа, мянган тонн - дотоодод","1993",5632.9
"Тээсэн ачаа, мянган тонн - гаргалт","1993",989.3
"Тээсэн ачаа, мянган тонн - оруулалт","1993",963
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1993",297.7
"Ачаа эргэлт, сая тонн километр","1993",2531
"Ачаа эргэлт, сая тонн километр - дотоодын","1993",1296.3
"Ачаа эргэлт, сая тонн километр - гаргалт","1993",495
"Ачаа эргэлт, сая тонн километр - оруулалт","1993",409.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1993",330.4
"Зорчигчид, мянган хүн","1993",2249
"Зорчигчид, мянган хүн - олон улсад зорчсон","1993",355.6
"Зорчигчид, мянган хүн - дотоодод зорчсон","1993",1893.4
"Зорчигч эргэлт, сая хүн километр","1993",582.5
"Шилжүүлсэн сая тонн километр","1993",3113.5
"Тээврийн орлого, сая төгрөг","1993",9675.9
"Тээсэн ачаа, мянган тонн","1994",7068.4
"Тээсэн ачаа, мянган тонн - дотоодод","1994",5335.4
"Тээсэн ачаа, мянган тонн - гаргалт","1994",884.9
"Тээсэн ачаа, мянган тонн - оруулалт","1994",678.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1994",169.6
"Ачаа эргэлт, сая тонн километр","1994",2131.7
"Ачаа эргэлт, сая тонн километр - дотоодын","1994",1210.8
"Ачаа эргэлт, сая тонн километр - гаргалт","1994",475.5
"Ачаа эргэлт, сая тонн километр - оруулалт","1994",257.1
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1994",188.3
"Зорчигчид, мянган хүн","1994",2884.6
"Зорчигчид, мянган хүн - олон улсад зорчсон","1994",325.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","1994",2558.8
"Зорчигч эргэлт, сая хүн километр","1994",789.6
"Шилжүүлсэн сая тонн километр","1994",2921.3
"Тээврийн орлого, сая төгрөг","1994",13496.3
"Тээсэн ачаа, мянган тонн","1995",7298
"Тээсэн ачаа, мянган тонн - дотоодод","1995",5439.1
"Тээсэн ачаа, мянган тонн - гаргалт","1995",864.1
"Тээсэн ачаа, мянган тонн - оруулалт","1995",864.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1995",130.5
"Ачаа эргэлт, сая тонн километр","1995",2279.5
"Ачаа эргэлт, сая тонн километр - дотоодын","1995",1266.4
"Ачаа эргэлт, сая тонн километр - гаргалт","1995",542.2
"Ачаа эргэлт, сая тонн километр - оруулалт","1995",326
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1995",144.9
"Зорчигчид, мянган хүн","1995",2831.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","1995",194.4
"Зорчигчид, мянган хүн - дотоодод зорчсон","1995",2637.1
"Зорчигч эргэлт, сая хүн километр","1995",679.7
"Шилжүүлсэн сая тонн километр","1995",2959.2
"Тээврийн орлого, сая төгрөг","1995",16054.5
"Тээсэн ачаа, мянган тонн","1996",7466
"Тээсэн ачаа, мянган тонн - дотоодод","1996",5577
"Тээсэн ачаа, мянган тонн - гаргалт","1996",883.7
"Тээсэн ачаа, мянган тонн - оруулалт","1996",687.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1996",318
"Ачаа эргэлт, сая тонн километр","1996",2528.6
"Ачаа эргэлт, сая тонн километр - дотоодын","1996",1241.4
"Ачаа эргэлт, сая тонн километр - гаргалт","1996",632.9
"Ачаа эргэлт, сая тонн километр - оруулалт","1996",301.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1996",353.1
"Зорчигчид, мянган хүн","1996",2987
"Зорчигчид, мянган хүн - олон улсад зорчсон","1996",156.1
"Зорчигчид, мянган хүн - дотоодод зорчсон","1996",2830.9
"Зорчигч эргэлт, сая хүн километр","1996",733.4
"Шилжүүлсэн сая тонн километр","1996",3262
"Тээврийн орлого, сая төгрөг","1996",20733.6
"Тээсэн ачаа, мянган тонн","1997",7309.7
"Тээсэн ачаа, мянган тонн - дотоодод","1997",5375
"Тээсэн ачаа, мянган тонн - гаргалт","1997",933.2
"Тээсэн ачаа, мянган тонн - оруулалт","1997",775.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1997",226
"Ачаа эргэлт, сая тонн километр","1997",2554.2
"Ачаа эргэлт, сая тонн километр - дотоодын","1997",1204
"Ачаа эргэлт, сая тонн километр - гаргалт","1997",778.7
"Ачаа эргэлт, сая тонн километр - оруулалт","1997",323.1
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1997",248.4
"Зорчигчид, мянган хүн","1997",3718.4
"Зорчигчид, мянган хүн - олон улсад зорчсон","1997",166.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","1997",3552.1
"Зорчигч эргэлт, сая хүн километр","1997",950.6
"Шилжүүлсэн сая тонн километр","1997",3504.8
"Тээврийн орлого, сая төгрөг","1997",27332.4
"Тээсэн ачаа, мянган тонн","1998",7615.1
"Тээсэн ачаа, мянган тонн - дотоодод","1998",5581.4
"Тээсэн ачаа, мянган тонн - гаргалт","1998",945.3
"Тээсэн ачаа, мянган тонн - оруулалт","1998",737.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1998",351.2
"Ачаа эргэлт, сая тонн километр","1998",2815.3
"Ачаа эргэлт, сая тонн километр - дотоодын","1998",1273.6
"Ачаа эргэлт, сая тонн километр - гаргалт","1998",838.6
"Ачаа эргэлт, сая тонн километр - оруулалт","1998",313.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1998",389.9
"Зорчигчид, мянган хүн","1998",3866.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","1998",148.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","1998",3718.6
"Зорчигч эргэлт, сая хүн километр","1998",981.3
"Шилжүүлсэн сая тонн километр","1998",3796.6
"Тээврийн орлого, сая төгрөг","1998",32407.9
"Тээсэн ачаа, мянган тонн","1999",8199.3
"Тээсэн ачаа, мянган тонн - дотоодод","1999",5722.7
"Тээсэн ачаа, мянган тонн - гаргалт","1999",775.2
"Тээсэн ачаа, мянган тонн - оруулалт","1999",692.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1999",1008.6
"Ачаа эргэлт, сая тонн километр","1999",3491.7
"Ачаа эргэлт, сая тонн километр - дотоодын","1999",1346.3
"Ачаа эргэлт, сая тонн километр - гаргалт","1999",728.3
"Ачаа эргэлт, сая тонн километр - оруулалт","1999",297.5
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1999",1119.6
"Зорчигчид, мянган хүн","1999",4119.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","1999",133.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","1999",3985.3
"Зорчигч эргэлт, сая хүн километр","1999",1009.6
"Шилжүүлсэн сая тонн километр","1999",4501.3
"Тээврийн орлого, сая төгрөг","1999",35787.1
"Тээсэн ачаа, мянган тонн","2000",9158.5
"Тээсэн ачаа, мянган тонн - дотоодод","2000",5960.4
"Тээсэн ачаа, мянган тонн - гаргалт","2000",769.1
"Тээсэн ачаа, мянган тонн - оруулалт","2000",916.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2000",1512.2
"Ачаа эргэлт, сая тонн километр","2000",4282.5
"Ачаа эргэлт, сая тонн километр - дотоодын","2000",1457.5
"Ачаа эргэлт, сая тонн километр - гаргалт","2000",736.8
"Ачаа эргэлт, сая тонн километр - оруулалт","2000",409.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2000",1678.5
"Зорчигчид, мянган хүн","2000",4282.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","2000",135.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","2000",4147
"Зорчигч эргэлт, сая хүн километр","2000",1067.2
"Шилжүүлсэн сая тонн километр","2000",5349.7
"Тээврийн орлого, сая төгрөг","2000",47838.2
"Тээсэн ачаа, мянган тонн","2001",10147.7
"Тээсэн ачаа, мянган тонн - дотоодод","2001",6267.7
"Тээсэн ачаа, мянган тонн - гаргалт","2001",844.5
"Тээсэн ачаа, мянган тонн - оруулалт","2001",871.6
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2001",2163.9
"Ачаа эргэлт, сая тонн километр","2001",5287.9
"Ачаа эргэлт, сая тонн километр - дотоодын","2001",1650.4
"Ачаа эргэлт, сая тонн километр - гаргалт","2001",820.6
"Ачаа эргэлт, сая тонн километр - оруулалт","2001",414.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2001",2402.1
"Зорчигчид, мянган хүн","2001",4082.8
"Зорчигчид, мянган хүн - олон улсад зорчсон","2001",163.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2001",3919.1
"Зорчигч эргэлт, сая хүн километр","2001",1062.2
"Шилжүүлсэн сая тонн километр","2001",6350.1
"Тээврийн орлого, сая төгрөг","2001",63207.1
"Тээсэн ачаа, мянган тонн","2002",11637
"Тээсэн ачаа, мянган тонн - дотоодод","2002",6643.1
"Тээсэн ачаа, мянган тонн - гаргалт","2002",849.4
"Тээсэн ачаа, мянган тонн - оруулалт","2002",1058.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2002",3086.1
"Ачаа эргэлт, сая тонн километр","2002",6461.3
"Ачаа эргэлт, сая тонн километр - дотоодын","2002",1774.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2002",807.7
"Ачаа эргэлт, сая тонн километр - оруулалт","2002",453.1
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2002",3425.6
"Зорчигчид, мянган хүн","2002",3962.6
"Зорчигчид, мянган хүн - олон улсад зорчсон","2002",166.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","2002",3796.3
"Зорчигч эргэлт, сая хүн километр","2002",1066.5
"Шилжүүлсэн сая тонн километр","2002",7527.8
"Тээврийн орлого, сая төгрөг","2002",86643.8
"Тээсэн ачаа, мянган тонн","2003",12284.7
"Тээсэн ачаа, мянган тонн - дотоодод","2003",6588.6
"Тээсэн ачаа, мянган тонн - гаргалт","2003",975
"Тээсэн ачаа, мянган тонн - оруулалт","2003",1080.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2003",3640.7
"Ачаа эргэлт, сая тонн километр","2003",7253.3
"Ачаа эргэлт, сая тонн километр - дотоодын","2003",1782.6
"Ачаа эргэлт, сая тонн километр - гаргалт","2003",961.8
"Ачаа эргэлт, сая тонн километр - оруулалт","2003",467.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2003",4041.7
"Зорчигчид, мянган хүн","2003",3947.8
"Зорчигчид, мянган хүн - олон улсад зорчсон","2003",141.1
"Зорчигчид, мянган хүн - дотоодод зорчсон","2003",3806.7
"Зорчигч эргэлт, сая хүн километр","2003",1038.8
"Шилжүүлсэн сая тонн километр","2003",8292.1
"Тээврийн орлого, сая төгрөг","2003",109900
"Тээсэн ачаа, мянган тонн","2004",14031.8
"Тээсэн ачаа, мянган тонн - дотоодод","2004",6857.3
"Тээсэн ачаа, мянган тонн - гаргалт","2004",1125.3
"Тээсэн ачаа, мянган тонн - оруулалт","2004",1225.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2004",4824
"Ачаа эргэлт, сая тонн километр","2004",8878.1
"Ачаа эргэлт, сая тонн километр - дотоодын","2004",1916
"Ачаа эргэлт, сая тонн километр - гаргалт","2004",1094.8
"Ачаа эргэлт, сая тонн километр - оруулалт","2004",512.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2004",5354.6
"Зорчигчид, мянган хүн","2004",4326.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","2004",174.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","2004",4151.6
"Зорчигч эргэлт, сая хүн километр","2004",1218.9
"Шилжүүлсэн сая тонн километр","2004",10097
"Тээврийн орлого, сая төгрөг","2004",135000
"Тээсэн ачаа, мянган тонн","2005",15586.28
"Тээсэн ачаа, мянган тонн - дотоодод","2005",7558.68
"Тээсэн ачаа, мянган тонн - гаргалт","2005",1468.31
"Тээсэн ачаа, мянган тонн - оруулалт","2005",1165.98
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2005",5393.31
"Ачаа эргэлт, сая тонн километр","2005",9947.69
"Ачаа эргэлт, сая тонн километр - дотоодын","2005",2160.35
"Ачаа эргэлт, сая тонн километр - гаргалт","2005",1271.95
"Ачаа эргэлт, сая тонн километр - оруулалт","2005",528.81
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2005",5986.58
"Зорчигчид, мянган хүн","2005",4227.11
"Зорчигчид, мянган хүн - олон улсад зорчсон","2005",185.6
"Зорчигчид, мянган хүн - дотоодод зорчсон","2005",4041.51
"Зорчигч эргэлт, сая хүн километр","2005",1234.29
"Шилжүүлсэн сая тонн километр","2005",11181.98
"Тээврийн орлого, сая төгрөг","2005",193600
"Тээсэн ачаа, мянган тонн","2006",14779.82
"Тээсэн ачаа, мянган тонн - дотоодод","2006",7336.46
"Тээсэн ачаа, мянган тонн - гаргалт","2006",1814.19
"Тээсэн ачаа, мянган тонн - оруулалт","2006",1163.08
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2006",4466.09
"Ачаа эргэлт, сая тонн километр","2006",9225.61
"Ачаа эргэлт, сая тонн километр - дотоодын","2006",2193.76
"Ачаа эргэлт, сая тонн километр - гаргалт","2006",1529.86
"Ачаа эргэлт, сая тонн километр - оруулалт","2006",544.63
